year,return
1980,0.123
1981,-0.045
1982,0.216
1983,0.187
1984,0.062
1985,0.314
1986,0.189
1987,0.156
1988,0.233
1989,0.164
1990,-0.171
1991,0.182
1992,-0.050
1993,0.101
1994,0.051
1995,0.376
1996,0.229
1997,0.337
1998,0.288
1999,0.210
2000,-0.099
2001,-0.118
2002,-0.222
2003,0.287
2004,0.109
2005,0.048
2006,0.159
2007,0.054
2008,-0.371
2009,0.266
2010,0.152
2011,0.021
2012,0.162
2013,0.323
2014,0.136
2015,0.015
2016,0.216
2017,0.218
2018,-0.043
2019,0.275
2020,0.184
2021,0.254
2022,-0.182
2023,0.238 
