year,return
1980,0.038
1981,0.042
1982,0.156
1983,0.089
1984,0.102
1985,0.076
1986,0.086
1987,0.064
1988,0.068
1989,0.098
1990,0.074
1991,0.162
1992,0.089
1993,0.218
1994,-0.089
1995,0.134
1996,0.085
1997,0.128
1998,0.143
1999,-0.027
2000,0.078
2001,0.045
2002,0.126
2003,0.034
2004,0.068
2005,0.078
2006,0.025
2007,0.086
2008,0.134
2009,0.087
2010,0.067
2011,0.168
2012,0.029
2013,-0.038
2014,0.147
2015,0.012
2016,0.098
2017,0.032
2018,0.004
2019,0.067
2020,0.058
2021,-0.048
2022,-0.213
2023,0.056
