year,inflation_rate
1980,0.180
1981,0.118
1982,0.085
1983,0.046
1984,0.050
1985,0.061
1986,0.034
1987,0.042
1988,0.049
1989,0.076
1990,0.093
1991,0.059
1992,0.037
1993,0.016
1994,0.025
1995,0.035
1996,0.025
1997,0.032
1998,0.036
1999,0.013
2000,0.030
2001,0.018
2002,0.017
2003,0.029
2004,0.030
2005,0.021
2006,0.023
2007,0.023
2008,0.036
2009,-0.005
2010,0.033
2011,0.045
2012,0.028
2013,0.026
2014,0.015
2015,0.000
2016,0.007
2017,0.027
2018,0.025
2019,0.018
2020,0.009
2021,0.026
2022,0.091
2023,0.074
